url,domain,title,text,outlinks
"https://ecas.ec.europa.eu/cas/wayf;ECAS_SESSIONID=rKrstQkPL0OaiTt5tp4LCDkdtrhgbODUkpzgxluQoeBvExEdCAvIinwTt8RGQoD3QfA!-1500138572",,"Where are you from?",,
"http://cordis.europa.eu/project/rcn/106722_en.html",,"European Commission : CORDIS : Projects and Results : DEMOCRATISATION OF WATER AND SANITATION GOVERNANCE BY MEANS OF SOCIO-TECHNICAL INNOVATION",,
"http://europa.eu/rapid/press-release_IP-14-769_en.htm",,"Commission urges governments to embrace potential of Big Data",,
"http://cordis.europa.eu/project/rcn/99246_en.html",,"European Commission : CORDIS : Projects and Results : Beyond National Models? Managing Immigration and Integration in Systems of Multi-level Governance",,
"http://ec.europa.eu/programmes/horizon2020/en/news/ceeds-new-ways-exploring-big-data",,"CEEDS: new ways of exploring big data",,
"http://ec.europa.eu/programmes/horizon2020/en/news/v-mustnet-how-museums-will-look-future",,"V-MUST.NET: How museums will look in the future",,
"http://ec.europa.eu/programmes/horizon2020/en/news/imaginative-solution-lifelong-learning",,"Imaginative solution to lifelong learning",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom_consultation_funding/548",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/call-making-science-education-and-careers-attractive-young-people",,"Call for Making Science Education and Careers Attractive for Young People",,
"http://ec.europa.eu/programmes/horizon2020/en/news/towards-cloud-public-services",,"Towards a Cloud of Public Services",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/euraxess-initiative-mobilisation-research-careers",,"The EURAXESS initiative: mobilisation of research careers",,
"http://www.chistera.eu/call-2014-announcement",,"Call 2014 Announcement",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/all",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/all",,"European Commission",,
"http://ec.europa.eu/digital-agenda/en/blog/future-europe-science-future-science-europe",,"The Future of Europe is Science; the future of science is Europe.",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/471",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/463",,"European Commission",,
